ID	timestamp	Place	
1604833200000	Sun Nov 08 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1605438000000	Sun Nov 15 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606042800000	Sun Nov 22 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606647600000	Sun Nov 29 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1607252400000	Sun Dec 06 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1607857200000	Sun Dec 13 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1608462000000	Sun Dec 20 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1609066800000	Sun Dec 27 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1609671600000	Sun Jan 03 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1610276400000	Sun Jan 10 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1610881200000	Sun Jan 17 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1611486000000	Sun Jan 24 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1612090800000	Sun Jan 31 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1612695600000	Sun Feb 07 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1613300400000	Sun Feb 14 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1613905200000	Sun Feb 21 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1614510000000	Sun Feb 28 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1615114800000	Sun Mar 07 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1615716000000	Sun Mar 14 2021 06:00:00 GMT-0400 (Eastern Daylight Time)	ACAD	
1616320800000	Sun Mar 21 2021 06:00:00 GMT-0400 (Eastern Daylight Time)	ACAD	
1604919600000	Mon Nov 09 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1605524400000	Mon Nov 16 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606129200000	Mon Nov 23 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606734000000	Mon Nov 30 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1607338800000	Mon Dec 07 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1607943600000	Mon Dec 14 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1608548400000	Mon Dec 21 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1609153200000	Mon Dec 28 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1609758000000	Mon Jan 04 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1610362800000	Mon Jan 11 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1610967600000	Mon Jan 18 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1611572400000	Mon Jan 25 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1612177200000	Mon Feb 01 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1612782000000	Mon Feb 08 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1613386800000	Mon Feb 15 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1613991600000	Mon Feb 22 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1614596400000	Mon Mar 01 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1615201200000	Mon Mar 08 2021 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1615802400000	Mon Mar 15 2021 06:00:00 GMT-0400 (Eastern Daylight Time)	ACAD	
1616407200000	Mon Mar 22 2021 06:00:00 GMT-0400 (Eastern Daylight Time)	ACAD	
1605006000000	Tue Nov 10 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1605610800000	Tue Nov 17 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606215600000	Tue Nov 24 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1606820400000	Tue Dec 01 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1607425200000	Tue Dec 08 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1608030000000	Tue Dec 15 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1608634800000	Tue Dec 22 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
1609239600000	Tue Dec 29 2020 06:00:00 GMT-0500 (Eastern Standard Time)	ACAD	
